model,bin,freq,voltage_target,voltage_limit,chip_temp,board_temp,ok_core_pct,min_power
m50.vh70,bin4v1_G,36.7,1170,70,97,0000,29.8,unknown
m50.vh70,bin5v1_A,36.7,1170,74,97,0000,29.8,unknown
m50.vh70,bin5v1_C,36.7,1170,72,97,0000,29.8,unknown
m50.vh70,bin5v1_E,36.7,1170,72,97,0000,29.8,unknown
m50.vh70,bin5v1_G,36.7,1170,70,97,0000,29.8,unknown
m50.vh70,bin6v1_A,36.7,1180,74,97,0000,29.8,unknown
m50.vh70,bin6v1_C,36.7,1180,72,97,0000,29.8,unknown
m50.vh70,bin6v1_E,36.7,1180,72,97,0000,29.8,unknown
m50.vh70,bin6v1_G,36.7,1180,70,97,0000,29.8,unknown
m50.vh70,bin9v1_A,36.7,1190,74,97,0000,29.8,unknown
m50.vh70,bin9v1_C,36.7,1190,72,97,0000,29.8,unknown
m50.vh70,bin9v1_E,36.7,1190,72,97,0000,29.8,unknown
m50.vh70,bin9v1_G,36.7,1190,70,97,0000,29.8,unknown
m50.vh70,bin10v1_A,36.7,1200,74,97,0000,29.8,unknown
m50.vh70,bin10v1_C,36.7,1200,72,97,0000,29.8,unknown
m50.vh70,bin10v1_E,36.7,1200,72,97,0000,29.8,unknown
m50.vh70,bin10v1_G,36.7,1200,70,97,0000,29.8,unknown
m50.vh70,bin11v1_A,36.7,1210,74,97,0000,29.8,unknown
m50.vh70,bin11v1_C,36.7,1210,72,97,0000,29.8,unknown
m50.vh70,bin11v1_E,36.7,1210,72,97,0000,29.8,unknown
m50.vh70,bin11v1_G,36.7,1210,70,97,0000,29.8,unknown
m50.vh70,bin12v1_A,36.7,1220,74,97,0000,29.8,unknown
m50.vh70,bin12v1_C,36.7,1220,72,97,0000,29.8,unknown
m50.vh70,bin12v1_E,36.7,1220,72,97,0000,29.8,unknown
m50.vh70,bin12v1_G,36.7,1220,70,97,0000,29.8,unknown
m50.vh70,bin13v1_A,36.7,1230,74,97,0000,29.8,unknown
m50.vh70,bin13v1_C,36.7,1230,72,97,0000,29.8,unknown
m50.vh70,bin13v1_E,36.7,1230,72,97,0000,29.8,unknown
m50.vh70,bin13v1_G,36.7,1230,70,97,0000,29.8,unknown
m50.vh70,bin1,36.7,1400,70,97,0000,29.8,unknown
m50.vh70,bin2,36.7,1400,70,97,0000,29.8,unknown
m50.vh70,bin3,36.7,1400,70,97,0000,29.8,unknown
m50.vh70,bin4,36.7,1400,70,97,0000,29.8,unknown
m50.vh70,bin5,36.7,1400,70,97,0000,29.8,unknown
m50.vh70,bin6,36.7,1400,70,97,0000,29.8,unknown
m50.vh70,bin9,36.7,1400,70,97,0000,29.8,unknown
m50.vh70,bin10,36.7,1400,70,97,0000,29.8,unknown
